CSDUID,Population
3501005,14211
3501007,1817
3501011,13903
3501012,49442
3501020,11218
3501030,12332
3501042,7828
3501050,10537
3502001,3574
3502008,10632
3502010,9044
3502023,10640
3502025,14292
3502036,27561
3502044,3920
3502048,20962
3506008,1071868
3507004,7756
3507006,7304
3507008,4647
3507014,9871
3507015,21905
3507017,2781
3507021,9635
3507024,5524
3507033,623
3507040,11622
3507042,3073
3507052,3378
3507065,18666
3509001,4221
3509004,9376
3509010,8003
3509015,5845
3509021,6824
3509024,9172
3509028,12565
3509030,15555
3509039,5893
3510005,1808
3510010,138204
3510020,20582
3510035,4683
3510045,2128
3511005,18950
3511015,16926
3511030,8107
3511035,2304
3512001,4490
3512002,1992
3512004,2877
3512005,57363
3512015,47464
3512020,5284
3512026,4911
3512030,6393
3512036,2390
3512046,4303
3512048,748
3512051,386
3512054,792
3512058,1759
3512061,4147
3512065,1019
3512076,4220
3513020,26816
3514004,13009
3514014,6814
3514019,12066
3514020,17647
3514021,21077
3514024,7801
3514027,419
3514045,13482
3515003,4950
3515005,7105
3515008,435
3515013,10310
3515014,87552
3515015,18122
3515019,1237
3515023,7568
3515030,5092
3515037,2803
3515044,5869
3516010,83355
3518001,105407
3518005,135180
3518009,149907
3518013,187813
3518017,107394
3518020,22831
3518022,153
3518029,23005
3518039,13890
3519028,338891
3519036,352404
3519038,211494
3519044,52546
3519046,64991
3519048,91481
3519049,27499
3519054,35615
3519070,49323
3519076,280
3520005,3025647
3521005,771891
3521010,745557
3521024,81903
3522001,2926
3522008,4629
3522010,3502
3522012,10537
3522014,31009
3522016,3940
3522019,3420
3522021,10212
3523001,7634
3523008,149942
3523009,15302
3523017,12044
3523025,32089
3523033,11965
3523043,9652
3523050,12830
3524001,224781
3524002,194175
3524009,142279
3524015,65965
3525005,597010
3526003,33459
3526011,19035
3526014,6914
3526021,16458
3526028,18275
3526032,58491
3526037,24814
3526043,99007
3526047,18981
3526053,144829
3526057,25945
3526065,29851
3528018,52719
3528035,155
3528037,1024
3528052,71506
3529005,41899
3529006,110617
3529020,6297
3529021,695
3530004,12056
3530010,146566
3530013,282375
3530016,129054
3530020,22373
3530027,12747
3530035,28657
3531011,34532
3531013,3850
3531016,7916
3531025,9672
3531030,13409
3531040,16380
3532002,12186
3532004,18554
3532012,8338
3532018,14485
3532027,9107
3532038,8270
